,date,cluster,initial_bikes,shortage_hours,total_bike_deficit
209,2018-12-12,19.0,55.0,11,684.0
210,2018-12-13,5.0,1050.0,0,0.0
211,2018-12-13,9.0,132.0,13,716.0
212,2018-12-13,11.0,116.0,10,422.0
213,2018-12-13,18.0,20.0,0,0.0
214,2018-12-13,19.0,70.0,11,491.0
215,2018-12-14,5.0,921.0,7,627.0
216,2018-12-14,9.0,162.0,11,478.0
217,2018-12-14,11.0,104.0,8,381.0
218,2018-12-14,18.0,19.0,0,0.0
219,2018-12-14,19.0,80.0,9,228.0
220,2018-12-15,5.0,699.0,0,0.0
221,2018-12-15,9.0,269.0,0,0.0
222,2018-12-15,11.0,151.0,0,0.0
223,2018-12-15,18.0,71.0,0,0.0
224,2018-12-15,19.0,121.0,0,0.0
225,2018-12-16,5.0,1673.0,0,0.0
226,2018-12-16,9.0,147.0,0,0.0
227,2018-12-16,11.0,73.0,0,0.0
228,2018-12-16,18.0,16.0,0,0.0
229,2018-12-16,19.0,45.0,0,0.0
230,2018-12-17,5.0,159.0,13,7185.0
231,2018-12-17,9.0,202.0,0,0.0
232,2018-12-17,11.0,107.0,9,234.0
233,2018-12-17,18.0,97.0,0,0.0
234,2018-12-17,19.0,119.0,10,292.0
235,2018-12-18,5.0,925.0,7,532.0
236,2018-12-18,9.0,172.0,9,251.0
237,2018-12-18,11.0,131.0,10,319.0
238,2018-12-18,18.0,67.0,0,0.0
239,2018-12-18,19.0,132.0,0,0.0
240,2018-12-19,5.0,652.0,9,1648.0
241,2018-12-19,9.0,99.0,11,955.0
242,2018-12-19,11.0,114.0,10,166.0
243,2018-12-19,18.0,13.0,13,238.0
244,2018-12-19,19.0,22.0,17,1034.0
245,2018-12-20,5.0,1421.0,0,0.0
246,2018-12-20,9.0,205.0,15,402.0
247,2018-12-20,11.0,142.0,10,177.0
248,2018-12-20,18.0,49.0,0,0.0
249,2018-12-20,19.0,99.0,16,569.0
250,2018-12-21,5.0,457.0,0,0.0
251,2018-12-21,9.0,379.0,0,0.0
252,2018-12-21,11.0,223.0,0,0.0
253,2018-12-21,18.0,132.0,0,0.0
254,2018-12-21,19.0,229.0,0,0.0
255,2018-12-22,5.0,959.0,0,0.0
256,2018-12-22,9.0,105.0,0,0.0
257,2018-12-22,11.0,72.0,0,0.0
258,2018-12-22,18.0,43.0,0,0.0
259,2018-12-22,19.0,42.0,0,0.0
260,2018-12-23,5.0,557.0,0,0.0
261,2018-12-23,9.0,206.0,0,0.0
262,2018-12-23,11.0,105.0,0,0.0
263,2018-12-23,18.0,72.0,0,0.0
264,2018-12-23,19.0,122.0,0,0.0
265,2018-12-24,5.0,411.0,0,0.0
266,2018-12-24,9.0,198.0,0,0.0
267,2018-12-24,11.0,97.0,0,0.0
268,2018-12-24,18.0,75.0,0,0.0
269,2018-12-24,19.0,105.0,0,0.0
270,2018-12-25,5.0,505.0,0,0.0
271,2018-12-25,9.0,155.0,0,0.0
272,2018-12-25,11.0,102.0,0,0.0
273,2018-12-25,18.0,60.0,0,0.0
274,2018-12-25,19.0,103.0,0,0.0
275,2018-12-26,5.0,517.0,0,0.0
276,2018-12-26,9.0,150.0,0,0.0
277,2018-12-26,11.0,86.0,0,0.0
278,2018-12-26,18.0,63.0,0,0.0
279,2018-12-26,19.0,70.0,0,0.0
280,2018-12-27,5.0,689.0,0,0.0
281,2018-12-27,9.0,152.0,0,0.0
282,2018-12-27,11.0,107.0,0,0.0
283,2018-12-27,18.0,74.0,0,0.0
284,2018-12-27,19.0,89.0,0,0.0
285,2018-12-28,5.0,658.0,0,0.0
286,2018-12-28,9.0,152.0,0,0.0
287,2018-12-28,11.0,101.0,0,0.0
288,2018-12-28,18.0,65.0,0,0.0
289,2018-12-28,19.0,64.0,0,0.0
290,2018-12-29,5.0,502.0,0,0.0
291,2018-12-29,9.0,159.0,0,0.0
292,2018-12-29,11.0,99.0,0,0.0
293,2018-12-29,18.0,78.0,0,0.0
294,2018-12-29,19.0,97.0,0,0.0
295,2018-12-30,5.0,1025.0,0,0.0
296,2018-12-30,9.0,113.0,0,0.0
297,2018-12-30,11.0,72.0,0,0.0
298,2018-12-30,18.0,27.0,4,22.0
299,2018-12-30,19.0,51.0,0,0.0
300,2018-12-31,5.0,0.0,0,0.0
301,2018-12-31,9.0,1.0,0,0.0
302,2018-12-31,11.0,0.0,0,0.0
303,2018-12-31,18.0,0.0,0,0.0
304,2018-12-31,19.0,0.0,0,0.0
